,ImageID,Unnamed: 0,Title,Formats,Production,Description,Synopsis,Habitat,Theme,Location,Keywords,Visualization,Date,Filename
0,53184634,328," Open-Pit Iron Ore Mine in Karnataka, India ", High-Res Master_4K ,2022," Aerial footage of an open-pit iron ore mine in Bellary (Ballari) in Karnataka, India "," Iron ore is the raw material used to make pig iron, also known as crude iron, which is one of the main raw materials to make steel.  98% of the mined iron ore is used to make steel.  Iron ores are rocks and minerals from which metallic iron can be economically extracted.

Bellary district has the highest deposits of iron ore in India. ", Rural , Biodiversity;Climate;Deforestation;Energy;Land Management;Pollution ," Bellary,Karnataka,India,Asia ", Mining Iron-ore Deforestation Ballari Bellary Mines Karnataka Mining-Processes Pollution Water-pollution Biodiversity Excavation Air-Pollution , , 2023-07-20 14:08:56 ,1DDC66_AE8A27JSYN_lt.jpg
1,53184635,419," Iron Ore Mine Undergoing Ecological Restoration in Karnataka, India ", High-Res Master_4K ,2022," Aerial footage of an iron ore mine in Bellary (Ballari) in Karnataka, India undergoing the process of ecological restoration. Species of plants are chosen, planted, and nurtured at the deforested mining sites, with the aim to recover the degraded ecosystem. "," Iron ore is the raw material used to make pig iron, also known as crude iron, which is one of the main raw materials to make steel.  98% of the mined iron ore is used to make steel.  Iron ores are rocks and minerals from which metallic iron can be economically extracted.

Bellary district has the highest deposits of iron ore in India. ", Rural , Biodiversity;Climate;Deforestation;Energy;Land Management;Pollution;Sustainable Future ," Bellary,Karnataka,India,Asia ", Mining Bellary Iron-ore Ballari Reforestation Ecological-restoration Regeneration Mines Karnataka Deforestation Biodiversity Air-pollution Pollution Mining-Processes Water-pollution Air-Pollution , , 2023-07-20 14:08:58 ,1DDC66_AE9EPFF7CV_lt.jpg
2,53184636,420," Iron Ore Mine Undergoing Ecological Restoration in Karnataka, India ", High-Res Master_4K ,2022," Aerial footage of an iron ore mine in Bellary (Ballari) in Karnataka, India undergoing the process of ecological restoration. Species of plants are chosen, planted, and nurtured at the deforested mining sites, with the aim of recovering the degraded ecosystem. "," Iron ore is the raw material used to make pig iron, also known as crude iron, which is one of the main raw materials to make steel.  98% of the mined iron ore is used to make steel.  Iron ores are rocks and minerals from which metallic iron can be economically extracted.

Bellary district has the highest deposits of iron ore in India. ", Rural , Biodiversity;Climate;Deforestation;Energy;Land Management;Pollution;Sustainable Future ," Bellary,Karnataka,India,Asia ", Mining Iron-ore Iron-ore-mining Mining-equipment Deforestation Pollution Water-pollution Air-pollution Stop-mining Habitat-destruction Ecology Development Anthropogenic-activity Save-the-planet Environment Aerial-view-of-an-iron-ore-mine Eco-restoration Reforestation Ecological-restoration Native-plants Regeneration Sustainable , , 2023-07-20 14:09:00 ,1DDC66_AEA5R6ZPSU_lt.jpg
3,53184637,424," Restoration of the Landscape Surrounding an Iron Ore Mine in Karnataka, India ", High-Res Master_4K ,2022," Aerial footage of an iron ore mine in Bellary (Ballari) in Karnataka, India undergoing the process of ecological restoration. Species of plants are chosen, planted, and nurtured at the deforested mining sites, with the aim to recover the degraded ecosystem. "," Iron ore is the raw material used to make pig iron, also known as crude iron, which is one of the main raw materials to make steel.  98% of the mined iron ore is used to make steel.  Iron ores are rocks and minerals from which metallic iron can be economically extracted.

Bellary district has the highest deposits of iron ore in India. ", Rural , Biodiversity;Climate;Deforestation;Energy;Land Management;Pollution;Sustainable Future ," Bellary,Karnataka,India,Asia ", Mining Bellary Iron-ore Ballari Karnataka Reforestation Regeneration Mines Biodiversity Ecological-restoration Water-pollution Pollution Air-pollution Deforestation , , 2023-07-20 14:09:02 ,1DDC66_AEAW0H74DL_lt.jpg
4,53184637,424," Restoration of the Landscape Surrounding an Iron Ore Mine in Karnataka, India ", High-Res Master_4K ,2022," Aerial footage of an iron ore mine in Bellary (Ballari) in Karnataka, India undergoing the process of ecological restoration. Species of plants are chosen, planted, and nurtured at the deforested mining sites, with the aim to recover the degraded ecosystem. "," Iron ore is the raw material used to make pig iron, also known as crude iron, which is one of the main raw materials to make steel.  98% of the mined iron ore is used to make steel.  Iron ores are rocks and minerals from which metallic iron can be economically extracted.

Bellary district has the highest deposits of iron ore in India. ", Rural , Biodiversity;Climate;Deforestation;Energy;Land Management;Pollution;Sustainable Future ," Bellary,Karnataka,India,Asia ", Mining Bellary Iron-ore Ballari Karnataka Reforestation Regeneration Mines Biodiversity Ecological-restoration Water-pollution Pollution Air-pollution Deforestation , , 2023-07-20 14:09:02 ,1DDC66_AEAW0H74DL_lt.jpg
5,53184638,417," Restoration of the Landscape of an Iron Ore Mine in Karnataka, India ", High-Res Master_4K ,2022," Aerial footage of an iron ore mine in Bellary (Ballari) in Karnataka, India undergoing the process of ecological restoration. Species of plants are chosen, planted, and nurtured at the deforested mining sites, with the aim of recovering the degraded ecosystem. "," Iron ore is the raw material used to make pig iron, also known as crude iron, which is one of the main raw materials to make steel.  98% of the mined iron ore is used to make steel.  Iron ores are rocks and minerals from which metallic iron can be economically extracted.

Bellary district has the highest deposits of iron ore in India. ", Rural , Biodiversity;Climate;Deforestation;Energy;Land Management;Pollution;Sustainable Future ," Bellary,Karnataka,India,Asia ", Iron-ore Mining Bellary Pollution Ballari Reforestation Mines Ecological-restoration Regeneration Deforestation Ecology Water-pollution Air-pollution Karnataka Biodiversity Mining-Processes Air-Pollution , , 2023-07-20 14:09:03 ,1DDC66_AEBDN4250K_lt.jpg
6,53184639,331," Iron Ore Mine Regreening in Karnataka, India ", High-Res Master_4K ,2022," An iron ore mine in Bellary (Ballari), Karnataka, India undergoing the process of ecological restoration. Species of plants are chosen, planted, and nurtured at the deforested mining sites, with the aim to recover the degraded ecosystem. "," Iron ore is the raw material used to make pig iron, also known as crude iron, which is one of the main raw materials to make steel.  98% of the mined iron ore is used to make steel.  Iron ores are rocks and minerals from which metallic iron can be economically extracted.

Bellary district has the highest deposits of iron ore in India. ", Rural , Biodiversity;Climate;Deforestation;Energy;Land Management;Pollution ," Bellary,Karnataka,India,Asia ", Mining Bellary Iron-ore Reforestation Ballari Ecological-restoration Regeneration Mines Air-pollution Water-pollution Pollution Deforestation Karnataka Biodiversity Mining-Processes Air-Pollution , , 2023-07-20 14:09:04 ,1DDC66_AEBY5WA3X4_lt.jpg
7,53184640,303," Open-Pit Iron Ore Mine Surrounded by Green Vegetation in Karnataka, India ", High-Res Master_4K ,2022," Aerial footage of an open-pit iron ore mine in Karnataka, India. The mine is surrounded by vast areas of green vegetation. "," Iron ore is the raw material used to make pig iron, also known as crude iron, which is one of the main raw materials to make steel.  98% of the mined iron ore is used to make steel.  Iron ores are rocks and minerals from which metallic iron can be economically extracted.

Bellary district has the highest deposits of iron ore in India. ", Rural , Biodiversity;Climate;Deforestation;Energy;Land Management;Pollution ," Bellary,Karnataka,India,Asia ", Mining Iron-ore Bellary Ballari Deforestation Pollution Karnataka Water-pollution Ecology Mines Biodiversity Mining-Processes Excavation Air-Pollution , , 2023-07-20 14:09:06 ,
8,53184641,329," Open-Pit Iron Ore Mine in Karnataka, India ", High-Res Master_4K ,2022," Aerial footage of an iron ore mine in Bellary (Ballari), Karnataka, India. A mining truck drives along a road on the side of the mine. "," Iron ore is the raw material used to make pig iron, also known as crude iron, which is one of the main raw materials to make steel.  98% of the mined iron ore is used to make steel.  Iron ores are rocks and minerals from which metallic iron can be economically extracted.

Bellary district has the highest deposits of iron ore in India. ", Rural , Biodiversity;Climate;Deforestation;Energy;Land Management;Pollution ," Bellary,Karnataka,India,Asia ", Mining Iron-ore Mining-equipment Bellary Ballari Pollution Mines Karnataka Water-pollution Biodiversity Mining-Processes Excavation Air-Pollution Deforestation , , 2023-07-20 14:09:06 ,1DDC66_AECNGMF5MW_lt.jpg
9,53184643,305," Iron Ore Mine Adjacent to a Forest in Karnataka, India ", High-Res Master_4K ,2022," Aerial footage of an iron ore mine in Bellary (Ballari), Karnataka, India. The mine is adjacent to a forested area. "," Iron ore is the raw material used to make pig iron, also known as crude iron, which is one of the main raw materials to make steel.  98% of the mined iron ore is used to make steel.  Iron ores are rocks and minerals from which metallic iron can be economically extracted.

Bellary district has the highest deposits of iron ore in India. ", Rural , Biodiversity;Climate;Deforestation;Energy;Land Management;Pollution ," Bellary,Karnataka,India,Asia ", Mining Iron-ore Mining-equipment Bellary Ballari Deforestation Pollution Water-pollution Ecology Forest Mines Karnataka Forests Biodiversity Mining-Processes Excavation Air-Pollution , , 2023-07-20 14:09:06 ,
